LS,Model,Paired samples,Dataset,Samples_Validation,Samples_Test
0.5167667642235756,GAN (big),49825,edges2shoes,160,40
0.48705537244677544,GAN (big),49825,edges2shoes,160,40
0.5067377276718616,GAN (big),49825,edges2shoes,160,40
0.4927330017089844,GAN (big),49825,edges2shoes,160,40
0.5186118818819523,GAN (big),49825,edges2shoes,160,40
0.49117034673690796,GAN (big),49825,edges2shoes,160,40
0.44656917452812195,GAN (big),1000,edges2shoes,160,40
0.43908343836665154,GAN (big),1000,edges2shoes,160,40
0.47615355253219604,GAN (big),1000,edges2shoes,160,40
0.4346071891486645,GAN (big),1000,edges2shoes,160,40
0.44736265018582344,GAN (big),1000,edges2shoes,160,40
0.43023814633488655,GAN (big),1000,edges2shoes,160,40
0.49190129339694977,GAN (big),1000,edges2shoes,160,40
0.4424554482102394,GAN (big),1000,edges2shoes,160,40
0.4625251926481724,GAN (big),1000,edges2shoes,160,40
0.39753028750419617,GAN (big),1000,edges2shoes,160,40
0.11263203108683228,GAN (big),100,edges2shoes,160,40
0.10219825804233551,GAN (big),100,edges2shoes,160,40
0.11926222685724497,GAN (big),100,edges2shoes,160,40
0.15174391120672226,GAN (big),100,edges2shoes,160,40
0.12145963963121176,GAN (big),100,edges2shoes,160,40
0.13108434528112411,GAN (big),100,edges2shoes,160,40
0.1380934789776802,GAN (big),100,edges2shoes,160,40
0.16618123278021812,GAN (big),100,edges2shoes,160,40
0.10596461221575737,GAN (big),100,edges2shoes,160,40
0.10804288182407618,GAN (big),100,edges2shoes,160,40
